编号,标题,难度,最后提交时间,提交次数,URL
3,无重复字符的最长子串,MEDIUM,2025-03-20 21:33:39,5,https://leetcode.cn/problems/longest-substring-without-repeating-characters/
2107,分享 K 个糖果后独特口味的数量,MEDIUM,2025-03-20 20:38:05,5,https://leetcode.cn/problems/number-of-unique-flavors-after-sharing-k-candies/
1151,最少交换次数来组合所有的 1,MEDIUM,2025-03-20 20:04:14,2,https://leetcode.cn/problems/minimum-swaps-to-group-all-1s-together/
1852,每个子数组的数字种类数,MEDIUM,2025-03-20 19:55:07,1,https://leetcode.cn/problems/distinct-numbers-in-each-subarray/
1100,长度为 K 的无重复字符子串,MEDIUM,2025-03-20 19:39:42,1,https://leetcode.cn/problems/find-k-length-substrings-with-no-repeated-characters/
1176,健身计划评估,EASY,2025-03-20 19:31:41,1,https://leetcode.cn/problems/diet-plan-performance/
1456,定长子串中元音的最大数目,MEDIUM,2025-03-20 18:50:20,4,https://leetcode.cn/problems/maximum-number-of-vowels-in-a-substring-of-given-length/
1652,拆炸弹,EASY,2025-03-19 23:45:40,1,https://leetcode.cn/problems/defuse-the-bomb/
1052,爱生气的书店老板,MEDIUM,2025-03-19 22:55:49,1,https://leetcode.cn/problems/grumpy-bookstore-owner/
1423,可获得的最大点数,MEDIUM,2025-03-19 22:36:21,2,https://leetcode.cn/problems/maximum-points-you-can-obtain-from-cards/
2461,长度为 K 子数组中的最大和,MEDIUM,2025-03-19 22:01:22,4,https://leetcode.cn/problems/maximum-sum-of-distinct-subarrays-with-length-k/
2841,几乎唯一子数组的最大和,MEDIUM,2025-03-19 21:41:11,2,https://leetcode.cn/problems/maximum-sum-of-almost-unique-subarray/
2379,得到 K 个黑块的最少涂色次数,EASY,2025-03-19 21:24:52,1,https://leetcode.cn/problems/minimum-recolors-to-get-k-consecutive-black-blocks/
2090,半径为 k 的子数组平均值,MEDIUM,2025-03-19 21:17:27,3,https://leetcode.cn/problems/k-radius-subarray-averages/
2610,转换二维数组,MEDIUM,2025-03-19 20:55:11,2,https://leetcode.cn/problems/convert-an-array-into-a-2d-array-with-conditions/
1343,大小为 K 且平均值大于等于阈值的子数组数目,MEDIUM,2025-03-18 23:26:25,2,https://leetcode.cn/problems/number-of-sub-arrays-of-size-k-and-average-greater-than-or-equal-to-threshold/
643,子数组最大平均数 I,EASY,2025-03-18 23:10:54,1,https://leetcode.cn/problems/maximum-average-subarray-i/
852,山脉数组的峰顶索引,MEDIUM,2025-03-18 22:46:53,2,https://leetcode.cn/problems/peak-index-in-a-mountain-array/
2586,统计范围内的元音字符串数,EASY,2025-03-18 22:36:54,1,https://leetcode.cn/problems/count-the-number-of-vowel-strings-in-range/
1422,分割字符串的最大得分,EASY,2025-03-18 22:23:51,2,https://leetcode.cn/problems/maximum-score-after-splitting-a-string/
867,转置矩阵,EASY,2025-03-18 22:12:07,1,https://leetcode.cn/problems/transpose-matrix/
2614,对角线上的质数,EASY,2025-03-18 22:05:43,5,https://leetcode.cn/problems/prime-in-diagonal/
543,二叉树的直径,EASY,2025-03-18 21:03:19,2,https://leetcode.cn/problems/diameter-of-binary-tree/
1470,重新排列数组,EASY,2025-03-18 17:10:54,1,https://leetcode.cn/problems/shuffle-the-array/
263,丑数,EASY,2025-03-18 17:02:38,5,https://leetcode.cn/problems/ugly-number/
1281,整数的各位积和之差,EASY,2025-03-18 16:03:33,1,https://leetcode.cn/problems/subtract-the-product-and-sum-of-digits-of-an-integer/
258,各位相加,EASY,2025-03-18 15:54:48,1,https://leetcode.cn/problems/add-digits/
709,转换成小写字母,EASY,2025-03-18 15:48:38,2,https://leetcode.cn/problems/to-lower-case/
1757,可回收且低脂的产品,EASY,2025-03-18 15:09:08,1,https://leetcode.cn/problems/recyclable-and-low-fat-products/
584,寻找用户推荐人,EASY,2025-03-18 15:06:34,1,https://leetcode.cn/problems/find-customer-referee/
1534,统计好三元组,EASY,2025-03-18 15:03:07,1,https://leetcode.cn/problems/count-good-triplets/
3488,距离最小相等元素查询,MEDIUM,2025-03-16 12:11:40,3,https://leetcode.cn/problems/closest-equal-element-queries/
3483,不同三位偶数的数目,EASY,2025-03-15 23:39:02,2,https://leetcode.cn/problems/unique-3-digit-even-numbers/
3110,字符串的分数,EASY,2025-03-15 14:47:47,1,https://leetcode.cn/problems/score-of-a-string/
3340,检查平衡字符串,EASY,2025-03-14 21:23:35,1,https://leetcode.cn/problems/check-balanced-string/
2269,找到一个数字的 K 美丽值,EASY,2025-03-10 20:57:01,2,https://leetcode.cn/problems/find-the-k-beauty-of-a-number/
1512,好数对的数目,EASY,2025-03-07 00:24:11,1,https://leetcode.cn/problems/number-of-good-pairs/
1486,数组异或操作,EASY,2025-03-06 23:24:58,1,https://leetcode.cn/problems/xor-operation-in-an-array/
2236,判断根结点是否等于子结点之和,EASY,2025-03-06 23:21:38,1,https://leetcode.cn/problems/root-equals-sum-of-children/
2413,最小偶倍数,EASY,2025-03-06 23:17:43,2,https://leetcode.cn/problems/smallest-even-multiple/
2469,温度转换,EASY,2025-03-06 23:09:10,1,https://leetcode.cn/problems/convert-the-temperature/
2235,两整数相加,EASY,2025-03-06 22:58:45,1,https://leetcode.cn/problems/add-two-integers/
3471,找出最大的几近缺失整数,EASY,2025-03-02 10:59:06,4,https://leetcode.cn/problems/find-the-largest-almost-missing-integer/
3468,可行数组的数目,MEDIUM,2025-03-01 23:00:22,1,https://leetcode.cn/problems/find-the-number-of-copy-arrays/
3467,将数组按照奇偶性转化,EASY,2025-03-01 22:36:45,1,https://leetcode.cn/problems/transform-array-by-parity/
131,分割回文串,MEDIUM,2025-03-01 16:51:15,1,https://leetcode.cn/problems/palindrome-partitioning/
2353,设计食物评分系统,MEDIUM,2025-02-28 22:54:51,2,https://leetcode.cn/problems/design-a-food-rating-system/
266,回文排列,EASY,2025-02-26 23:18:13,2,https://leetcode.cn/problems/palindrome-permutation/
2502,设计内存分配器,MEDIUM,2025-02-26 22:45:23,1,https://leetcode.cn/problems/design-memory-allocator/
1472,设计浏览器历史记录,MEDIUM,2025-02-26 22:31:15,2,https://leetcode.cn/problems/design-browser-history/
1656,设计有序流,EASY,2025-02-25 00:06:05,3,https://leetcode.cn/problems/design-an-ordered-stream/
2595,奇偶位数,EASY,2025-02-20 23:26:06,5,https://leetcode.cn/problems/number-of-even-and-odd-bits/
1287,有序数组中出现次数超过25%的元素,EASY,2025-02-17 21:35:05,4,https://leetcode.cn/problems/element-appearing-more-than-25-in-sorted-array/
49,字母异位词分组,MEDIUM,2025-01-27 17:29:19,3,https://leetcode.cn/problems/group-anagrams/
21,合并两个有序链表,EASY,2025-01-27 11:43:31,3,https://leetcode.cn/problems/merge-two-sorted-lists/
121,买卖股票的最佳时机,EASY,2023-04-10 17:41:48,4,https://leetcode.cn/problems/best-time-to-buy-and-sell-stock/
面试题 05.02,二进制数转字符串,MEDIUM,2023-03-02 12:30:56,2,https://leetcode.cn/problems/binary-number-to-string-lcci/
2373,矩阵中的局部最大值,EASY,2023-03-01 20:45:03,5,https://leetcode.cn/problems/largest-local-values-in-a-matrix/
1326,灌溉花园的最少水龙头数目,HARD,2023-02-23 01:28:13,4,https://leetcode.cn/problems/minimum-number-of-taps-to-open-to-water-a-garden/
20,有效的括号,EASY,2021-04-22 22:35:59,2,https://leetcode.cn/problems/valid-parentheses/
13,罗马数字转整数,EASY,2021-04-22 00:04:01,3,https://leetcode.cn/problems/roman-to-integer/
224,基本计算器,HARD,2021-04-14 10:11:52,1,https://leetcode.cn/problems/basic-calculator/
14,最长公共前缀,EASY,2019-12-14 23:18:24,5,https://leetcode.cn/problems/longest-common-prefix/
9,回文数,EASY,2019-12-13 22:36:47,2,https://leetcode.cn/problems/palindrome-number/
7,整数反转,MEDIUM,2019-12-12 23:00:43,4,https://leetcode.cn/problems/reverse-integer/
771,宝石与石头,EASY,2019-03-08 17:48:16,1,https://leetcode.cn/problems/jewels-and-stones/
